Date,Time,Event,Asset,Rate,Currency,Amount,Amount_Unit,AUD_Value,Fee_Amount,Fee_Unit,Fee_AUD,Balance,Balance_Unit
24/01/2022,17:14:40,BUY,MATIC,2.08070849,AUD,123.25174306,MATIC,258,0.74448306,MATIC,1.53817065,248.11574497,MATIC
25/01/2022,21:00:04,BUY,LUNC,92.23429325,AUD,2.02605770,LUNC,188,0.01222972,LUNC,1.12046029,2.0260577,LUNC
26/01/2022,10:59:59,REWARD,LUNC,,,0.00025853,LUNC,0.0226805,0.000,LUNC,0,2.02631623,LUNC
27/01/2022,10:59:59,REWARD,LUNC,,,0.00044381,LUNC,0.03660975,0.000,LUNC,0,2.02676004,LUNC
28/01/2022,10:59:59,REWARD,LUNC,,,0.00044390,LUNC,0.034067,0.000,LUNC,0,2.02720394,LUNC
29/01/2022,10:59:59,REWARD,LUNC,,,0.00044400,LUNC,0.03269706,0.000,LUNC,0,2.02764794,LUNC
30/01/2022,10:59:59,REWARD,LUNC,,,0.00044410,LUNC,0.03229737,0.000,LUNC,0,2.02809204,LUNC
31/01/2022,10:59:59,REWARD,LUNC,,,0.00044420,LUNC,0.02821286,0.000,LUNC,0,2.02853624,LUNC
31/01/2022,18:12:07,BUY,SOL,128.64975892,AUD,2.25611146,SOL,292,0.01361685,SOL,1.7413668,2.25611146,SOL
1/02/2022,10:59:59,REWARD,SOL,,,0.00028084,SOL,0.04011494,0.000,SOL,0,2.2563923,SOL
1/02/2022,10:59:59,REWARD,MATIC,,,0.05698752,MATIC,0.13186623,0.000,MATIC,0,248.17273249,MATIC
1/02/2022,10:59:59,REWARD,LUNC,,,0.00044429,LUNC,0.032488,0.000,LUNC,0,2.02898053,LUNC
2/02/2022,10:59:59,REWARD,SOL,,,0.00040155,SOL,0.06209323,0.000,SOL,0,2.25679385,SOL
2/02/2022,10:59:59,REWARD,MATIC,,,0.08153494,MATIC,0.18699482,0.000,MATIC,0,248.25426743,MATIC
2/02/2022,10:59:59,REWARD,LUNC,,,0.00044439,LUNC,0.03239631,0.000,LUNC,0,2.02942492,LUNC
3/02/2022,10:59:59,REWARD,SOL,,,0.00040162,SOL,0.05734573,0.000,SOL,0,2.25719547,SOL
3/02/2022,10:59:59,REWARD,MATIC,,,0.08156173,MATIC,0.17709658,0.000,MATIC,0,248.33582916,MATIC
3/02/2022,10:59:59,REWARD,LUNC,,,0.00044449,LUNC,0.03002305,0.000,LUNC,0,2.02986941,LUNC
4/02/2022,10:59:59,REWARD,SOL,,,0.00040169,SOL,0.05697619,0.000,SOL,0,2.25759716,SOL
4/02/2022,10:59:59,REWARD,MATIC,,,0.08158853,MATIC,0.17629501,0.000,MATIC,0,248.41741769,MATIC
4/02/2022,10:59:59,REWARD,LUNC,,,0.00044459,LUNC,0.03163535,0.000,LUNC,0,2.030314,LUNC
5/02/2022,10:59:59,REWARD,SOL,,,0.00040176,SOL,0.06323482,0.000,SOL,0,2.25799892,SOL
5/02/2022,10:59:59,REWARD,MATIC,,,0.08161533,MATIC,0.19509792,0.000,MATIC,0,248.49903302,MATIC
5/02/2022,10:59:59,REWARD,LUNC,,,0.00044468,LUNC,0.03389814,0.000,LUNC,0,2.03075868,LUNC
6/02/2022,10:59:59,REWARD,SOL,,,0.00040183,SOL,0.06532652,0.000,SOL,0,2.25840075,SOL
6/02/2022,10:59:59,REWARD,MATIC,,,0.08164215,MATIC,0.20020766,0.000,MATIC,0,248.58067517,MATIC
6/02/2022,10:59:59,REWARD,LUNC,,,0.00044478,LUNC,0.03544751,0.000,LUNC,0,2.03120346,LUNC
7/02/2022,10:59:59,REWARD,SOL,,,0.00040191,SOL,0.06433394,0.000,SOL,0,2.25880266,SOL
7/02/2022,10:59:59,REWARD,MATIC,,,0.08166897,MATIC,0.19766415,0.000,MATIC,0,248.66234414,MATIC
7/02/2022,10:59:59,REWARD,LUNC,,,0.00044488,LUNC,0.03469391,0.000,LUNC,0,2.03164834,LUNC
8/02/2022,10:59:59,REWARD,SOL,,,0.00040198,SOL,0.06617683,0.000,SOL,0,2.25920464,SOL
8/02/2022,10:59:59,REWARD,MATIC,,,0.08169580,MATIC,0.2309757,0.000,MATIC,0,248.74403994,MATIC
8/02/2022,10:59:59,REWARD,LUNC,,,0.00044498,LUNC,0.03703896,0.000,LUNC,0,2.03209332,LUNC
9/02/2022,10:59:59,REWARD,SOL,,,0.00040205,SOL,0.06449926,0.000,SOL,0,2.25960669,SOL
9/02/2022,10:59:59,REWARD,MATIC,,,0.08172264,MATIC,0.22232798,0.000,MATIC,0,248.82576258,MATIC
9/02/2022,10:59:59,REWARD,LUNC,,,0.00044507,LUNC,0.03564569,0.000,LUNC,0,2.03253839,LUNC
10/02/2022,10:59:59,REWARD,SOL,,,0.00040212,SOL,0.06370141,0.000,SOL,0,2.26000881,SOL
10/02/2022,10:59:59,REWARD,MATIC,,,0.08174949,MATIC,0.22759791,0.000,MATIC,0,248.90751207,MATIC
10/02/2022,10:59:59,REWARD,LUNC,,,0.00044517,LUNC,0.0348418,0.000,LUNC,0,2.03298356,LUNC
11/02/2022,10:59:59,REWARD,SOL,,,0.00040219,SOL,0.05925161,0.000,SOL,0,2.260411,SOL
11/02/2022,10:59:59,REWARD,MATIC,,,0.08177635,MATIC,0.21049437,0.000,MATIC,0,248.98928842,MATIC
11/02/2022,10:59:59,REWARD,LUNC,,,0.00044527,LUNC,0.03258015,0.000,LUNC,0,2.03342883,LUNC
12/02/2022,10:59:59,REWARD,SOL,,,0.00040226,SOL,0.05453992,0.000,SOL,0,2.26081326,SOL
12/02/2022,10:59:59,REWARD,MATIC,,,0.08180322,MATIC,0.19817629,0.000,MATIC,0,249.07109164,MATIC
12/02/2022,10:59:59,REWARD,LUNC,,,0.00044537,LUNC,0.03148083,0.000,LUNC,0,2.0338742,LUNC
13/02/2022,10:59:59,REWARD,SOL,,,0.00040233,SOL,0.05474219,0.000,SOL,0,2.26121559,SOL
13/02/2022,10:59:59,REWARD,MATIC,,,0.08183009,MATIC,0.19671361,0.000,MATIC,0,249.15292173,MATIC
13/02/2022,10:59:59,REWARD,LUNC,,,0.00044546,LUNC,0.03293154,0.000,LUNC,0,2.03431966,LUNC
14/02/2022,10:59:59,REWARD,SOL,,,0.00040241,SOL,0.05225102,0.000,SOL,0,2.261618,SOL
14/02/2022,10:59:59,REWARD,MATIC,,,0.08185698,MATIC,0.18579117,0.000,MATIC,0,249.23477871,MATIC
14/02/2022,10:59:59,REWARD,LUNC,,,0.00044556,LUNC,0.03258736,0.000,LUNC,0,2.03476522,LUNC
15/02/2022,10:59:59,REWARD,SOL,,,0.00040248,SOL,0.05470187,0.000,SOL,0,2.26202048,SOL
15/02/2022,10:59:59,REWARD,MATIC,,,0.08188387,MATIC,0.19369908,0.000,MATIC,0,249.31666258,MATIC
15/02/2022,10:59:59,REWARD,LUNC,,,0.00044566,LUNC,0.03454497,0.000,LUNC,0,2.03521088,LUNC
16/02/2022,10:59:59,REWARD,SOL,,,0.00040255,SOL,0.0581032,0.000,SOL,0,2.26242303,SOL
16/02/2022,10:59:59,REWARD,MATIC,,,0.08191077,MATIC,0.21194877,0.000,MATIC,0,249.39857335,MATIC
16/02/2022,10:59:59,REWARD,LUNC,,,0.00044576,LUNC,0.03528488,0.000,LUNC,0,2.03565664,LUNC
17/02/2022,10:59:59,REWARD,SOL,,,0.00040262,SOL,0.05725907,0.000,SOL,0,2.26282565,SOL
17/02/2022,10:59:59,REWARD,MATIC,,,0.08193768,MATIC,0.21038792,0.000,MATIC,0,249.48051103,MATIC
17/02/2022,10:59:59,REWARD,LUNC,,,0.00044585,LUNC,0.03491131,0.000,LUNC,0,2.03610249,LUNC
18/02/2022,10:59:59,REWARD,SOL,,,0.00040269,SOL,0.05280836,0.000,SOL,0,2.26322834,SOL
18/02/2022,10:59:59,REWARD,MATIC,,,0.08196460,MATIC,0.19071489,0.000,MATIC,0,249.56247563,MATIC
18/02/2022,10:59:59,REWARD,LUNC,,,0.00044595,LUNC,0.03145697,0.000,LUNC,0,2.03654844,LUNC
19/02/2022,10:59:59,REWARD,SOL,,,0.00040276,SOL,0.05130905,0.000,SOL,0,2.2636311,SOL
19/02/2022,10:59:59,REWARD,MATIC,,,0.08199153,MATIC,0.18551878,0.000,MATIC,0,249.64446716,MATIC
19/02/2022,10:59:59,REWARD,LUNC,,,0.00044605,LUNC,0.0319074,0.000,LUNC,0,2.03699449,LUNC
20/02/2022,10:59:59,REWARD,SOL,,,0.00040284,SOL,0.05038902,0.000,SOL,0,2.26403394,SOL
20/02/2022,10:59:59,REWARD,MATIC,,,0.08201847,MATIC,0.1837313,0.000,MATIC,0,249.72648563,MATIC
20/02/2022,10:59:59,REWARD,LUNC,,,0.00044615,LUNC,0.03120199,0.000,LUNC,0,2.03744064,LUNC
21/02/2022,10:59:59,REWARD,SOL,,,0.00040291,SOL,0.05261452,0.000,SOL,0,2.26443685,SOL
21/02/2022,10:59:59,REWARD,MATIC,,,0.08204542,MATIC,0.18023996,0.000,MATIC,0,249.80853105,MATIC
21/02/2022,10:59:59,REWARD,LUNC,,,0.00044624,LUNC,0.03181954,0.000,LUNC,0,2.03788688,LUNC
22/02/2022,10:59:59,REWARD,SOL,,,0.00040298,SOL,0.04678944,0.000,SOL,0,2.26483983,SOL
22/02/2022,10:59:59,REWARD,MATIC,,,0.08207237,MATIC,0.15921435,0.000,MATIC,0,249.89060342,MATIC
22/02/2022,10:59:59,REWARD,LUNC,,,0.00044634,LUNC,0.03138879,0.000,LUNC,0,2.03833322,LUNC
